t-ab	t̪ˠ a bˠ
n-éigiontacht	nʲ eː ɟ i n̻ˠ t̪ˠ a ɾˠ t̪ˠ
d'éigiontacht	dʲ eː ɟ i n̻ˠ t̪ˠ a ɾˠ t̪ˠ
m'éigiontacht	mʲ eː ɟ i n̻ˠ t̪ˠ a ɾˠ t̪ˠ
b'éigiontachta	bʲ eː ɟ i n̻ˠ t̪ˠ ə ɾˠ t̪ˠ ə
n-éigiontachta	nʲ eː ɟ i n̻ˠ t̪ˠ ə ɾˠ t̪ˠ ə
d'éigiontachta	dʲ eː ɟ i n̻ˠ t̪ˠ ə ɾˠ t̪ˠ ə
m'éigiontachta	mʲ eː ɟ i n̻ˠ t̪ˠ ə ɾˠ t̪ˠ ə
b'éigiontaí	bʲ eː ɟ i n̻ˠ t̪ˠ iː
n-éigiontaí	nʲ eː ɟ i n̻ˠ t̪ˠ iː
n-éigiontaídís	nʲ eː ɟ i n̻ˠ t̪ˠ iː dʲ iː ʃ
d'éigiontaídís	dʲ eː ɟ i n̻ˠ t̪ˠ iː dʲ iː ʃ
n-éigiontaígí	nʲ eː ɟ i n̻ˠ t̪ˠ iː ɟ iː
n-éigiontaím	nʲ eː ɟ i n̻ˠ t̪ˠ iː mʲ
n-éigiontaímid	nʲ eː ɟ i n̻ˠ t̪ˠ iː mʲ i dʲ
n-éigiontaímis	nʲ eː ɟ i n̻ˠ t̪ˠ iː mʲ i ʃ
d'éigiontaímis	dʲ eː ɟ i n̻ˠ t̪ˠ iː mʲ i ʃ
n-éigiontaínn	nʲ eː ɟ i n̻ˠ t̪ˠ iː n̻ʲ
d'éigiontaínn	dʲ eː ɟ i n̻ˠ t̪ˠ iː n̻ʲ
n-éigiontaíodar	nʲ eː ɟ i n̻ˠ t̪ˠ ia d̪ˠ ə ɾˠ
d'éigiontaíodar	dʲ eː ɟ i n̻ˠ t̪ˠ ia d̪ˠ ə ɾˠ
n-éigiontaíodh	nʲ eː ɟ i n̻ˠ t̪ˠ iː uː
d'éigiontaíodh	dʲ eː ɟ i n̻ˠ t̪ˠ iː uː
n-éigiontaíomar	nʲ eː ɟ i n̻ˠ t̪ˠ ia mˠ ə ɾˠ
d'éigiontaíomar	dʲ eː ɟ i n̻ˠ t̪ˠ ia mˠ ə ɾˠ
n-éigiontaíonn	nʲ eː ɟ i n̻ˠ t̪ˠ ia n̻ˠ
n-éigiontaíteá	nʲ eː ɟ i n̻ˠ t̪ˠ iː tʲ aː
d'éigiontaíteá	dʲ eː ɟ i n̻ˠ t̪ˠ iː tʲ aː
n-éigiontaítear	nʲ eː ɟ i n̻ˠ t̪ˠ iː tʲ ə ɾˠ
b'éigiontaithe	bʲ eː ɟ i n̻ˠ t̪ˠ iː
n-éigiontaithe	nʲ eː ɟ i n̻ˠ t̪ˠ iː
d'éigiontaithe	dʲ eː ɟ i n̻ˠ t̪ˠ iː
m'éigiontaithe	mʲ eː ɟ i n̻ˠ t̪ˠ iː
n-éigiontaítí	nʲ eː ɟ i n̻ˠ t̪ˠ iː tʲ iː
d'éigiontaítí	dʲ eː ɟ i n̻ˠ t̪ˠ iː tʲ iː
n-éigiontódh	nʲ eː ɟ i n̻ˠ t̪ˠ o x ə tʲ
d'éigiontódh	dʲ eː ɟ i n̻ˠ t̪ˠ o x ə tʲ
n-éigiontófá	nʲ eː ɟ i n̻ˠ t̪ˠ oː h aː
d'éigiontófá	dʲ eː ɟ i n̻ˠ t̪ˠ oː h aː
n-éigiontófaí	nʲ eː ɟ i n̻ˠ t̪ˠ oː fˠ iː
d'éigiontófaí	dʲ eː ɟ i n̻ˠ t̪ˠ oː fˠ iː
n-éigiontófar	nʲ eː ɟ i n̻ˠ t̪ˠ oː fˠ ə ɾˠ
n-éigiontóidh	nʲ eː ɟ i n̻ˠ t̪ˠ o j
n-éigiontóidís	nʲ eː ɟ i n̻ˠ t̪ˠ oː dʲ iː ʃ
d'éigiontóidís	dʲ eː ɟ i n̻ˠ t̪ˠ oː dʲ iː ʃ
n-éigiontóimid	nʲ eː ɟ i n̻ˠ t̪ˠ oː mʲ i dʲ
n-éigiontóimis	nʲ eː ɟ i n̻ˠ t̪ˠ oː mʲ i ʃ
d'éigiontóimis	dʲ eː ɟ i n̻ˠ t̪ˠ oː mʲ i ʃ
n-éigiontóinn	nʲ eː ɟ i n̻ˠ t̪ˠ o n̻ʲ
d'éigiontóinn	dʲ eː ɟ i n̻ˠ t̪ˠ o n̻ʲ
t-éigiontú	tʲ eː ɟ i n̻ˠ t̪ˠ uː
b'éigiontú	bʲ eː ɟ i n̻ˠ t̪ˠ uː
n-éigiontú	nʲ eː ɟ i n̻ˠ t̪ˠ uː
d'éigiontú	dʲ eː ɟ i n̻ˠ t̪ˠ uː
m'éigiontú	mʲ eː ɟ i n̻ˠ t̪ˠ uː
b'éigirt	bʲ eː ɟ i ɾˠ tʲ
n-éigirt	nʲ eː ɟ i ɾˠ tʲ
d'éigirt	dʲ eː ɟ i ɾˠ tʲ
m'éigirt	mʲ eː ɟ i ɾˠ tʲ
b'éigis	bʲ eː ɟ i ʃ
n-éigis	nʲ eː ɟ i ʃ
d'éigis	dʲ eː ɟ i ʃ
m'éigis	mʲ eː ɟ i ʃ
t-éigneach	tʲ eː ɟ nʲ a h
b'éigneach	bʲ eː ɟ nʲ a h
n-éigneach	nʲ eː ɟ nʲ a h
d'éigneach	dʲ eː ɟ nʲ a h
m'éigneach	mʲ eː ɟ nʲ a h
b'éigneacha	bʲ eː ɟ nʲ a h ə
n-éigneacha	nʲ eː ɟ nʲ a h ə
b'éigneasta	ˈ bʲ eː ɟ  nʲ a sˠ  t̪ˠ ə
n-éigneasta	ˈ nʲ eː ɟ  nʲ a sˠ  t̪ˠ ə
n-éigneodh	nʲ eː ɟ nʲ o
d'éigneodh	dʲ eː ɟ nʲ o
n-éigneofá	nʲ eː ɟ nʲ oː h aː
d'éigneofá	dʲ eː ɟ nʲ oː h aː
n-éigneofaí	nʲ eː ɟ nʲ oː fˠ iː
d'éigneofaí	dʲ eː ɟ nʲ oː fˠ iː
n-éigneofar	nʲ eː ɟ nʲ oː fˠ ə ɾˠ
n-éigneoidh	nʲ eː ɟ nʲ o j
n-éigneoidís	nʲ eː ɟ nʲ oː dʲ iː ʃ
d'éigneoidís	dʲ eː ɟ nʲ oː dʲ iː ʃ
n-éigneoimid	nʲ eː ɟ nʲ oː mʲ i dʲ
n-éigneoimis	nʲ eː ɟ nʲ oː mʲ i ʃ
d'éigneoimis	dʲ eː ɟ nʲ oː mʲ i ʃ
n-éigneoinn	nʲ eː ɟ nʲ o n̻ʲ
d'éigneoinn	dʲ eː ɟ nʲ o n̻ʲ
t-éigneoir	tʲ eː ɟ nʲ o ɾʲ
b'éigneoir	bʲ eː ɟ nʲ o ɾʲ
n-éigneoir	nʲ eː ɟ nʲ o ɾʲ
d'éigneoir	dʲ eː ɟ nʲ o ɾʲ
m'éigneoir	mʲ eː ɟ nʲ o ɾʲ
b'éigneoirí	bʲ eː ɟ nʲ oː ɾʲ iː
n-éigneoirí	nʲ eː ɟ nʲ oː ɾʲ iː
d'éigneoirí	dʲ eː ɟ nʲ oː ɾʲ iː
m'éigneoirí	mʲ eː ɟ nʲ oː ɾʲ iː
b'éigneora	bʲ eː ɟ nʲ oː ɾˠ ə
n-éigneora	nʲ eː ɟ nʲ oː ɾˠ ə
d'éigneora	dʲ eː ɟ nʲ oː ɾˠ ə
m'éigneora	mʲ eː ɟ nʲ oː ɾˠ ə
b'éigní	bʲ eː ɟ nʲ iː
n-éigní	nʲ eː ɟ nʲ iː
n-éignídís	nʲ eː ɟ nʲ iː dʲ iː ʃ
d'éignídís	dʲ eː ɟ nʲ iː dʲ iː ʃ
n-éignígí	nʲ eː ɟ nʲ iː ɟ iː
n-éigním	nʲ eː ɟ nʲ iː mʲ
n-éignímid	nʲ eː ɟ nʲ iː mʲ i dʲ
n-éignímis	nʲ eː ɟ nʲ iː mʲ i ʃ
d'éignímis	dʲ eː ɟ nʲ iː mʲ i ʃ
n-éignínn	nʲ eː ɟ nʲ iː n̻ʲ
d'éignínn	dʲ eː ɟ nʲ iː n̻ʲ
n-éigníodar	nʲ eː ɟ nʲ iː d̪ˠ ə ɾˠ
d'éigníodar	dʲ eː ɟ nʲ iː d̪ˠ ə ɾˠ
n-éigníodh	nʲ eː ɟ nʲ iː uː
d'éigníodh	dʲ eː ɟ nʲ iː uː
n-éigníomar	nʲ eː ɟ nʲ iː mˠ ə ɾˠ
d'éigníomar	dʲ eː ɟ nʲ iː mˠ ə ɾˠ
n-éigníonn	nʲ eː ɟ nʲ iː n̻ˠ
n-éigníteá	nʲ eː ɟ nʲ iː tʲ aː
d'éigníteá	dʲ eː ɟ nʲ iː tʲ aː
n-éignítear	nʲ eː ɟ nʲ iː tʲ ə ɾˠ
b'éignithe	bʲ eː ɟ nʲ iː
n-éignithe	nʲ eː ɟ nʲ iː
d'éignithe	dʲ eː ɟ nʲ iː
m'éignithe	mʲ eː ɟ nʲ iː
n-éignítí	nʲ eː ɟ nʲ iː tʲ iː
d'éignítí	dʲ eː ɟ nʲ iː tʲ iː
b'éigríche	bʲ eː ɟ ɾʲ iː hʲ ə
n-éigríche	nʲ eː ɟ ɾʲ iː hʲ ə
d'éigríche	dʲ eː ɟ ɾʲ iː hʲ ə
m'éigríche	mʲ eː ɟ ɾʲ iː hʲ ə
b'éigríoch	ˈ bʲ eː ɟ  ɾʲ i h
n-éigríoch	ˈ nʲ eː ɟ  ɾʲ i h
d'éigríoch	ˈ dʲ eː ɟ  ɾʲ i h
m'éigríoch	ˈ mʲ eː ɟ  ɾʲ i h
t-éigríochta	tʲ eː ɟ ɾʲ ia ɾˠ t̪ˠ ə
b'éigríochta	bʲ eː ɟ ɾʲ ia ɾˠ t̪ˠ ə
n-éigríochta	nʲ eː ɟ ɾʲ ia ɾˠ t̪ˠ ə
d'éigríochta	dʲ eː ɟ ɾʲ ia ɾˠ t̪ˠ ə
m'éigríochta	mʲ eː ɟ ɾʲ ia ɾˠ t̪ˠ ə
b'éigríonna	ˈ bʲ eː ɟ  ɾʲ iː  n̻ˠ ə
n-éigríonna	ˈ nʲ eː ɟ  ɾʲ iː  n̻ˠ ə
b'éigrit	bʲ eː ɟ ɾʲ i tʲ
n-éigrit	nʲ eː ɟ ɾʲ i tʲ
d'éigrit	dʲ eː ɟ ɾʲ i tʲ
m'éigrit	mʲ eː ɟ ɾʲ i tʲ
b'éigrite	bʲ eː ɟ ɾʲ i tʲ ə
n-éigrite	nʲ eː ɟ ɾʲ i tʲ ə
d'éigrite	dʲ eː ɟ ɾʲ i tʲ ə
m'éigrite	mʲ eː ɟ ɾʲ i tʲ ə
b'éigrití	bʲ eː ɟ ɾʲ i tʲ iː
n-éigrití	nʲ eː ɟ ɾʲ i tʲ iː
d'éigrití	dʲ eː ɟ ɾʲ i tʲ iː
m'éigrití	mʲ eː ɟ ɾʲ i tʲ iː
b'éigse	ˈ bʲ eː ɟ  ʃ ə
n-éigse	ˈ nʲ eː ɟ  ʃ ə
d'éigse	ˈ dʲ eː ɟ  ʃ ə
m'éigse	ˈ mʲ eː ɟ  ʃ ə
b'eilc	ˈ bʲ e lʲ c
n-eilc	ˈ nʲ e lʲ c
d'eilc	ˈ dʲ e lʲ c
m'eilc	ˈ mʲ e lʲ c
b'eilce	bʲ e lʲ c ə
n-eilce	nʲ e lʲ c ə
d'eilce	dʲ e lʲ c ə
m'eilce	mʲ e lʲ c ə
b'eilceanna	bʲ e lʲ c ə n̻ˠ ə
n-eilceanna	nʲ e lʲ c ə n̻ˠ ə
d'eilceanna	dʲ e lʲ c ə n̻ˠ ə
m'eilceanna	mʲ e lʲ c ə n̻ˠ ə
b'eileatraim	bʲ e lʲ ə t̪ˠ ɾˠ ə mʲ
n-eileatraim	nʲ e lʲ ə t̪ˠ ɾˠ ə mʲ
d'eileatraim	dʲ e lʲ ə t̪ˠ ɾˠ ə mʲ
m'eileatraim	mʲ e lʲ ə t̪ˠ ɾˠ ə mʲ
t-eileatram	ˈ tʲ e  lʲ ə t̪ˠ  ɾˠ ə mˠ
b'eileatram	ˈ bʲ e  lʲ ə t̪ˠ  ɾˠ ə mˠ
n-eileatram	ˈ nʲ e  lʲ ə t̪ˠ  ɾˠ ə mˠ
d'eileatram	ˈ dʲ e  lʲ ə t̪ˠ  ɾˠ ə mˠ
m'eileatram	ˈ mʲ e  lʲ ə t̪ˠ  ɾˠ ə mˠ
n-éileodh	nʲ eː lʲ o
d'éileodh	dʲ eː lʲ o
n-éileofá	nʲ eː lʲ oː h aː
d'éileofá	dʲ eː lʲ oː h aː
n-éileofaí	nʲ eː lʲ oː fˠ iː
d'éileofaí	dʲ eː lʲ oː fˠ iː
n-éileofar	nʲ eː lʲ oː fˠ ə ɾˠ
n-éileoidh	nʲ eː lʲ o j
n-éileoidís	nʲ eː lʲ oː dʲ iː ʃ
d'éileoidís	dʲ eː lʲ oː dʲ iː ʃ
n-éileoimid	nʲ eː lʲ oː mʲ i dʲ
n-éileoimis	nʲ eː lʲ oː mʲ i ʃ
d'éileoimis	dʲ eː lʲ oː mʲ i ʃ
n-éileoinn	nʲ eː lʲ o n̻ʲ
d'éileoinn	dʲ eː lʲ o n̻ʲ
n-éilí	nʲ eː lʲ iː
n-éilídís	nʲ eː lʲ iː dʲ iː ʃ
d'éilídís	dʲ eː lʲ iː dʲ iː ʃ
b'eilifinte	bʲ e lʲ i fʲ i nʲ tʲ ə
n-eilifinte	nʲ e lʲ i fʲ i nʲ tʲ ə
d'eilifinte	dʲ e lʲ i fʲ i nʲ tʲ ə
m'eilifinte	mʲ e lʲ i fʲ i nʲ tʲ ə
b'eilifleog	bʲ e lʲ i fʲ lʲ o ɡ
n-eilifleog	nʲ e lʲ i fʲ lʲ o ɡ
d'eilifleog	dʲ e lʲ i fʲ lʲ o ɡ
m'eilifleog	mʲ e lʲ i fʲ lʲ o ɡ
b'eilifleoige	bʲ e lʲ i fʲ lʲ oː ɟ ə
n-eilifleoige	nʲ e lʲ i fʲ lʲ oː ɟ ə
d'eilifleoige	dʲ e lʲ i fʲ lʲ oː ɟ ə
m'eilifleoige	mʲ e lʲ i fʲ lʲ oː ɟ ə
n-éilígí	nʲ eː lʲ iː ɟ iː
n-éilím	nʲ eː lʲ iː mʲ
n-éilímid	nʲ eː lʲ iː mʲ i dʲ
b'eiliminte	bʲ e lʲ i mʲ i nʲ tʲ ə
n-eiliminte	nʲ e lʲ i mʲ i nʲ tʲ ə
d'eiliminte	dʲ e lʲ i mʲ i nʲ tʲ ə
m'eiliminte	mʲ e lʲ i mʲ i nʲ tʲ ə
b'eiliminteach	bʲ e lʲ i mʲ i nʲ tʲ a h
n-eiliminteach	nʲ e lʲ i mʲ i nʲ tʲ a h
b'eiliminteacha	bʲ e lʲ i mʲ i nʲ tʲ a h ə
n-eiliminteacha	nʲ e lʲ i mʲ i nʲ tʲ a h ə
b'eilimintigh	bʲ e lʲ i mʲ i nʲ tʲ iː
n-eilimintigh	nʲ e lʲ i mʲ i nʲ tʲ iː
n-éilímis	nʲ eː lʲ iː mʲ i ʃ
d'éilímis	dʲ eː lʲ iː mʲ i ʃ
n-éilínn	nʲ eː lʲ iː n̻ʲ
d'éilínn	dʲ eː lʲ iː n̻ʲ
n-éilíodar	nʲ eː lʲ iː d̪ˠ ə ɾˠ
d'éilíodar	dʲ eː lʲ iː d̪ˠ ə ɾˠ
n-éilíodh	nʲ eː lʲ iː uː
d'éilíodh	dʲ eː lʲ iː uː
n-éilíomar	nʲ eː lʲ iː mˠ ə ɾˠ
d'éilíomar	dʲ eː lʲ iː mˠ ə ɾˠ
n-éilíonn	nʲ eː lʲ iː n̻ˠ
t-éilips	tʲ eː lʲ i pʲ ʃ
b'éilips	bʲ eː lʲ i pʲ ʃ
n-éilips	nʲ eː lʲ i pʲ ʃ
d'éilips	dʲ eː lʲ i pʲ ʃ
m'éilips	mʲ eː lʲ i pʲ ʃ
b'éilipseach	bʲ eː lʲ i pʲ ʃ a h
n-éilipseach	nʲ eː lʲ i pʲ ʃ a h
b'éilipseacha	bʲ eː lʲ i pʲ ʃ a h ə
n-éilipseacha	nʲ eː lʲ i pʲ ʃ a h ə
b'éilipsí	bʲ eː lʲ i pʲ ʃ iː
n-éilipsí	nʲ eː lʲ i pʲ ʃ iː
d'éilipsí	dʲ eː lʲ i pʲ ʃ iː
m'éilipsí	mʲ eː lʲ i pʲ ʃ iː
b'éilipsigh	bʲ eː lʲ i pʲ ʃ iː
n-éilipsigh	nʲ eː lʲ i pʲ ʃ iː
b'eilite	bʲ e lʲ i tʲ ə
n-eilite	nʲ e lʲ i tʲ ə
d'eilite	dʲ e lʲ i tʲ ə
m'eilite	mʲ e lʲ i tʲ ə
n-éilíteá	nʲ eː lʲ iː tʲ aː
d'éilíteá	dʲ eː lʲ iː tʲ aː
n-éilítear	nʲ eː lʲ iː tʲ ə ɾˠ
b'éilithe	bʲ eː lʲ iː
n-éilithe	nʲ eː lʲ iː
b'éilitheacha	bʲ eː lʲ i hʲ a h ə
n-éilitheacha	nʲ eː lʲ i hʲ a h ə
b'éilitheoirí	bʲ eː lʲ i hʲ oː ɾʲ iː
n-éilitheoirí	nʲ eː lʲ i hʲ oː ɾʲ iː
d'éilitheoirí	dʲ eː lʲ i hʲ oː ɾʲ iː
m'éilitheoirí	mʲ eː lʲ i hʲ oː ɾʲ iː
b'éilitheora	bʲ eː lʲ i hʲ oː ɾˠ ə
n-éilitheora	nʲ eː lʲ i hʲ oː ɾˠ ə
d'éilitheora	dʲ eː lʲ i hʲ oː ɾˠ ə
m'éilitheora	mʲ eː lʲ i hʲ oː ɾˠ ə
b'éilithí	bʲ eː lʲ i hʲ iː
n-éilithí	nʲ eː lʲ i hʲ iː
b'éilithigh	bʲ eː lʲ i hʲ iː
n-éilithigh	nʲ eː lʲ i hʲ iː
b'eilití	bʲ e lʲ i tʲ iː
n-eilití	nʲ e lʲ i tʲ iː
d'eilití	dʲ e lʲ i tʲ iː
m'eilití	mʲ e lʲ i tʲ iː
n-éilítí	nʲ eː lʲ iː tʲ iː
d'éilítí	dʲ eː lʲ iː tʲ iː
b'éille	bʲ eː l̻ʲ ə
n-éille	nʲ eː l̻ʲ ə
d'éille	dʲ eː l̻ʲ ə
m'éille	mʲ eː l̻ʲ ə
n-éilleodh	nʲ eː l̻ʲ o
d'éilleodh	dʲ eː l̻ʲ o
n-éilleofá	nʲ eː l̻ʲ oː h aː
d'éilleofá	dʲ eː l̻ʲ oː h aː
n-éilleofaí	nʲ eː l̻ʲ oː fˠ iː
d'éilleofaí	dʲ eː l̻ʲ oː fˠ iː
n-éilleofar	nʲ eː l̻ʲ oː fˠ ə ɾˠ
n-éilleoidh	nʲ eː l̻ʲ o j
n-éilleoidís	nʲ eː l̻ʲ oː dʲ iː ʃ
d'éilleoidís	dʲ eː l̻ʲ oː dʲ iː ʃ
n-éilleoimid	nʲ eː l̻ʲ oː mʲ i dʲ
n-éilleoimis	nʲ eː l̻ʲ oː mʲ i ʃ
d'éilleoimis	dʲ eː l̻ʲ oː mʲ i ʃ
n-éilleoinn	nʲ eː l̻ʲ o n̻ʲ
d'éilleoinn	dʲ eː l̻ʲ o n̻ʲ
n-éillí	nʲ eː l̻ʲ iː
n-éillídís	nʲ eː l̻ʲ iː dʲ iː ʃ
d'éillídís	dʲ eː l̻ʲ iː dʲ iː ʃ
n-éilligh	ˈ nʲ eː  lʲ iː
d'éilligh	ˈ dʲ eː  lʲ iː
n-éillígí	nʲ eː l̻ʲ iː ɟ iː
n-éillím	nʲ eː l̻ʲ iː mʲ
n-éillímid	nʲ eː l̻ʲ iː mʲ i dʲ
n-éillímis	nʲ eː l̻ʲ iː mʲ i ʃ
d'éillímis	dʲ eː l̻ʲ iː mʲ i ʃ
t-éillín	ˈ tʲ eː  lʲ iː nʲ
b'éillín	ˈ bʲ eː  lʲ iː nʲ
n-éillín	ˈ nʲ eː  lʲ iː nʲ
d'éillín	ˈ dʲ eː  lʲ iː nʲ
m'éillín	ˈ mʲ eː  lʲ iː nʲ
b'éillíní	bʲ eː l̻ʲ iː nʲ iː
n-éillíní	nʲ eː l̻ʲ iː nʲ iː
d'éillíní	dʲ eː l̻ʲ iː nʲ iː
m'éillíní	mʲ eː l̻ʲ iː nʲ iː
n-éillínn	nʲ eː l̻ʲ iː n̻ʲ
d'éillínn	dʲ eː l̻ʲ iː n̻ʲ
n-éillíodar	nʲ eː l̻ʲ iː d̪ˠ ə ɾˠ
d'éillíodar	dʲ eː l̻ʲ iː d̪ˠ ə ɾˠ
n-éillíodh	nʲ eː l̻ʲ iː uː
d'éillíodh	dʲ eː l̻ʲ iː uː
n-éillíomar	nʲ eː l̻ʲ iː mˠ ə ɾˠ
d'éillíomar	dʲ eː l̻ʲ iː mˠ ə ɾˠ
n-éillíonn	nʲ eː l̻ʲ iː n̻ˠ
n-éillíteá	nʲ eː l̻ʲ iː tʲ aː
d'éillíteá	dʲ eː l̻ʲ iː tʲ aː
n-éillítear	nʲ eː l̻ʲ iː tʲ ə ɾˠ
b'éillithe	bʲ eː l̻ʲ iː
n-éillithe	nʲ eː l̻ʲ iː
d'éillithe	dʲ eː l̻ʲ iː
m'éillithe	mʲ eː l̻ʲ iː
b'éillitheach	bʲ eː l̻ʲ i hʲ a h
n-éillitheach	nʲ eː l̻ʲ i hʲ a h
b'éillitheacha	bʲ eː l̻ʲ i hʲ a h ə
n-éillitheacha	nʲ eː l̻ʲ i hʲ a h ə
b'éillithí	bʲ eː l̻ʲ i hʲ iː
n-éillithí	nʲ eː l̻ʲ i hʲ iː
b'éillithigh	bʲ eː l̻ʲ i hʲ iː
n-éillithigh	nʲ eː l̻ʲ i hʲ iː
n-éillítí	nʲ eː l̻ʲ iː tʲ iː
d'éillítí	dʲ eː l̻ʲ iː tʲ iː
t-éilliú	tʲ eː l̻ʲ uː
b'éilliú	bʲ eː l̻ʲ uː
n-éilliú	nʲ eː l̻ʲ uː
d'éilliú	dʲ eː l̻ʲ uː
m'éilliú	mʲ eː l̻ʲ uː
n-éim	nʲ eː mʲ
b'éimh	bʲ eː vʲ
n-éimh	nʲ eː vʲ
d'éimh	dʲ eː vʲ
m'éimh	mʲ eː vʲ
b'éimheach	bʲ eː vʲ a h
n-éimheach	nʲ eː vʲ a h
b'éimheacha	bʲ eː vʲ a h ə
n-éimheacha	nʲ eː vʲ a h ə
b'éimhí	bʲ eː vʲ iː
n-éimhí	nʲ eː vʲ iː
b'éimhigh	bʲ eː vʲ iː
n-éimhigh	nʲ eː vʲ iː
n-éimid	nʲ eː mʲ i dʲ
t-éimír	tʲ eː mʲ iː ɾʲ
b'éimír	bʲ eː mʲ iː ɾʲ
n-éimír	nʲ eː mʲ iː ɾʲ
d'éimír	dʲ eː mʲ iː ɾʲ
m'éimír	mʲ eː mʲ iː ɾʲ
n-éimis	nʲ eː mʲ i ʃ
d'éimis	dʲ eː mʲ i ʃ
b'eimpíreach	bʲ e mʲ pʲ iː ɾʲ a h
n-eimpíreach	nʲ e mʲ pʲ iː ɾʲ a h
b'eimpíreacha	bʲ e mʲ pʲ iː ɾʲ a h ə
n-eimpíreacha	nʲ e mʲ pʲ iː ɾʲ a h ə
b'eimpíreachais	bʲ e mʲ pʲ iː ɾʲ ə h ə ʃ
n-eimpíreachais	nʲ e mʲ pʲ iː ɾʲ ə h ə ʃ
d'eimpíreachais	dʲ e mʲ pʲ iː ɾʲ ə h ə ʃ
m'eimpíreachais	mʲ e mʲ pʲ iː ɾʲ ə h ə ʃ
t-eimpíreachas	tʲ e mʲ pʲ iː ɾʲ ə h ə sˠ
b'eimpíreachas	bʲ e mʲ pʲ iː ɾʲ ə h ə sˠ
n-eimpíreachas	nʲ e mʲ pʲ iː ɾʲ ə h ə sˠ
d'eimpíreachas	dʲ e mʲ pʲ iː ɾʲ ə h ə sˠ
m'eimpíreachas	mʲ e mʲ pʲ iː ɾʲ ə h ə sˠ
t-eimpírí	tʲ e mʲ pʲ iː ɾʲ iː
b'eimpírí	bʲ e mʲ pʲ iː ɾʲ iː
n-eimpírí	nʲ e mʲ pʲ iː ɾʲ iː
d'eimpírí	dʲ e mʲ pʲ iː ɾʲ iː
m'eimpírí	mʲ e mʲ pʲ iː ɾʲ iː
b'eimpírigh	bʲ e mʲ pʲ iː ɾʲ iː
n-eimpírigh	nʲ e mʲ pʲ iː ɾʲ iː
b'eimpírithe	bʲ e mʲ pʲ iː ɾʲ iː
n-eimpírithe	nʲ e mʲ pʲ iː ɾʲ iː
d'eimpírithe	dʲ e mʲ pʲ iː ɾʲ iː
m'eimpírithe	mʲ e mʲ pʲ iː ɾʲ iː
t-einceifilíteas	tʲ e ɲ c ə fʲ i lʲ iː tʲ ə sˠ
b'einceifilíteas	bʲ e ɲ c ə fʲ i lʲ iː tʲ ə sˠ
n-einceifilíteas	nʲ e ɲ c ə fʲ i lʲ iː tʲ ə sˠ
d'einceifilíteas	dʲ e ɲ c ə fʲ i lʲ iː tʲ ə sˠ
m'einceifilíteas	mʲ e ɲ c ə fʲ i lʲ iː tʲ ə sˠ
b'einceifilítis	bʲ e ɲ c ə fʲ i lʲ iː tʲ i ʃ
n-einceifilítis	nʲ e ɲ c ə fʲ i lʲ iː tʲ i ʃ
d'einceifilítis	dʲ e ɲ c ə fʲ i lʲ iː tʲ i ʃ
m'einceifilítis	mʲ e ɲ c ə fʲ i lʲ iː tʲ i ʃ
b'eindéimeach	ˈ bʲ i nʲ  dʲ e  mʲ a h
n-eindéimeach	ˈ nʲ i nʲ  dʲ e  mʲ a h
b'eindéimeacha	bʲ e nʲ dʲ eː mʲ a h ə
n-eindéimeacha	nʲ e nʲ dʲ eː mʲ a h ə
b'eindéimí	bʲ e nʲ dʲ eː mʲ iː
n-eindéimí	nʲ e nʲ dʲ eː mʲ iː
b'eindéimigh	bʲ e nʲ dʲ eː mʲ iː
n-eindéimigh	nʲ e nʲ dʲ eː mʲ iː
b'einime	bʲ e nʲ i mʲ ə
n-einime	nʲ e nʲ i mʲ ə
d'einime	dʲ e nʲ i mʲ ə
m'einime	mʲ e nʲ i mʲ ə
b'einimí	bʲ e nʲ i mʲ iː
n-einimí	nʲ e nʲ i mʲ iː
d'einimí	dʲ e nʲ i mʲ iː
m'einimí	mʲ e nʲ i mʲ iː
n-éinn	nʲ eː n̻ʲ
d'éinn	dʲ eː n̻ʲ
b'einsíme	bʲ e nʲ ʃ iː mʲ ə
n-einsíme	nʲ e nʲ ʃ iː mʲ ə
d'einsíme	dʲ e nʲ ʃ iː mʲ ə
m'einsíme	mʲ e nʲ ʃ iː mʲ ə
b'einsímí	bʲ e nʲ ʃ iː mʲ iː
n-einsímí	nʲ e nʲ ʃ iː mʲ iː
d'einsímí	dʲ e nʲ ʃ iː mʲ iː
m'einsímí	mʲ e nʲ ʃ iː mʲ iː
t-eintiteas	tʲ e nʲ tʲ i tʲ ə sˠ
b'eintiteas	bʲ e nʲ tʲ i tʲ ə sˠ
n-eintiteas	nʲ e nʲ tʲ i tʲ ə sˠ
d'eintiteas	dʲ e nʲ tʲ i tʲ ə sˠ
m'eintiteas	mʲ e nʲ tʲ i tʲ ə sˠ
b'eintitis	bʲ e nʲ tʲ i tʲ i ʃ
n-eintitis	nʲ e nʲ tʲ i tʲ i ʃ
d'eintitis	dʲ e nʲ tʲ i tʲ i ʃ
m'eintitis	mʲ e nʲ tʲ i tʲ i ʃ
t-eipeadúrach	tʲ e pʲ ə d̪ˠ uː ɾˠ a h
b'eipeadúrach	bʲ e pʲ ə d̪ˠ uː ɾˠ a h
n-eipeadúrach	nʲ e pʲ ə d̪ˠ uː ɾˠ a h
d'eipeadúrach	dʲ e pʲ ə d̪ˠ uː ɾˠ a h
